country,month,gdp_growth_pct,inflation_rate,unemployment_rate,food_price_index,energy_dependency_pct,military_expenditure_pct_gdp,arms_imports_index,border_disputes_count,refugee_outflow_thousands,sanctions_active,media_freedom_score,protest_events_last_3m,cyber_attack_incidents,last_conflict_year,trade_dependency_rival_pct,foreign_troops_present,social_media_sentiment,rolling_protest_avg_6m,instability_score,conflict_escalation_6m,arms_imports_index_roll3,arms_imports_index_roll6,arms_imports_index_lag1,arms_imports_index_lag3,gdp_growth_pct_roll3,gdp_growth_pct_roll6,gdp_growth_pct_lag1,gdp_growth_pct_lag3,inflation_rate_roll3,inflation_rate_roll6,inflation_rate_lag1,inflation_rate_lag3,unemployment_rate_roll3,unemployment_rate_roll6,unemployment_rate_lag1,unemployment_rate_lag3,food_price_index_roll3,food_price_index_roll6,food_price_index_lag1,food_price_index_lag3,social_media_sentiment_roll3,social_media_sentiment_roll6,social_media_sentiment_lag1,social_media_sentiment_lag3,years_since_last_conflict,region_Eastern Europe,region_Middle East,region_North America,region_South America,region_South Asia,region_Western Europe
Brazil,2020-01-01,3.292274015427587,4.821968783180589,4.291811078672609,105.62876887317444,71.76985906488201,3.0899864397269257,92.14177382560956,4,132.54393863030464,0,27.54326493359292,0,13,2014-01-01,29.65539207645621,1,0.2791295612093476,2.177743391700501,39.090019366464965,0,,,,,,,,,,,,,,,,,,,,,,,,,6,False,False,False,True,False,False
Brazil,2020-02-01,5.265490572587335,9.813665230659977,0.6200015989073808,129.19469722664007,54.52750405680134,1.0098832627510648,17.86449109762557,3,151.38097304650083,0,42.12557543535969,8,16,2018-01-01,25.69818287719156,0,0.7304591917208922,8.768982404575835,92.1564938212926,1,,,92.14177382560956,,,,3.292274015427587,,,,4.821968783180589,,,,4.291811078672609,,,,105.62876887317444,,,,0.2791295612093476,,2,False,False,False,True,False,False
Brazil,2020-03-01,-0.974037243077616,10.701997844730652,6.914191079487693,130.5865622900355,39.08863699412304,3.652373380759776,51.92807926573918,2,153.1357298301831,0,84.33346886901494,1,14,2018-01-01,11.51832635504301,0,0.5413627739390288,2.2421188206147207,64.16832116852662,0,53.9781147296581,,17.86449109762557,,2.527909114979102,,5.265490572587335,,8.445877286190406,,9.813665230659977,,3.942001252355894,,0.6200015989073808,,121.80334279661668,,129.19469722664007,,0.5169838422897562,,0.7304591917208922,,2,False,False,False,True,False,False
Brazil,2020-04-01,-1.595409558077869,10.456866692731865,12.601751704135625,146.1278663308099,93.185634559384,1.48084367162533,31.218014666112445,2,16.77434905686993,0,25.41772278824445,15,15,2018-01-01,20.57007430435952,0,-0.9567705644975673,15.218694036044226,124.99258684033084,1,33.67019500982573,,51.92807926573918,92.14177382560956,0.8986812571439499,,-0.974037243077616,3.292274015427587,10.324176589374163,,10.701997844730652,4.821968783180589,6.711981460843567,,6.914191079487693,4.291811078672609,135.30304194916184,,130.5865622900355,105.62876887317444,0.10501713372078458,,0.5413627739390288,0.2791295612093476,2,False,False,False,True,False,False
Brazil,2020-05-01,0.3131024453153554,6.699543902887319,8.975297842532532,99.87659082073068,14.000468591618905,4.088038835761713,28.89034287236096,3,211.96733359936567,0,79.53558031873146,4,9,2018-01-01,16.016825626791466,1,-0.4200198391726453,1.6438947268791977,58.84581880187753,0,37.34547893473752,,31.218014666112445,17.86449109762557,-0.7521147852800433,,-1.595409558077869,5.265490572587335,9.286136146783278,,10.456866692731865,9.813665230659977,9.497080208718616,,12.601751704135625,0.6200015989073808,125.5303398138587,,146.1278663308099,129.19469722664007,-0.27847587657706124,,-0.9567705644975673,0.7304591917208922,2,False,False,False,True,False,False
Brazil,2020-06-01,-0.8444265312637684,18.41338881087161,7.962014913642449,124.51777889864424,50.86510480383464,2.98185626964609,19.95162690564129,3,84.00594226169326,0,84.93111288879024,3,7,2014-01-01,28.494563367523288,1,0.4572228833454603,2.2786387041997167,76.07848528077402,1,26.686661481371562,40.33238810551483,28.89034287236096,51.92807926573918,-0.7089112146754274,0.9094989501518373,0.3131024453153554,-0.974037243077616,11.856599802163595,10.151238544177001,6.699543902887319,10.701997844730652,9.846354820103535,6.8941780362297145,8.975297842532532,6.914191079487693,123.50741201672827,122.65537740667247,99.87659082073068,130.5865622900355,-0.3065225067749174,0.1052306677574194,-0.4200198391726453,0.5413627739390288,6,False,False,False,True,False,False
Brazil,2020-07-01,-0.451018022391735,1.5914490392493397,8.555897567110485,83.15220009179603,65.61615120173842,3.5296891081501496,91.38539351612832,0,94.71311004577544,0,28.763409807354343,9,10,2018-01-01,30.46983584896598,0,0.0802258856074682,3.713191740916148,119.9097388470992,1,46.74245443137685,40.206324720601295,19.95162690564129,31.218014666112445,-0.327447369446716,0.2856169438486169,-0.8444265312637684,-1.595409558077869,8.901460584336089,9.612818586855127,18.41338881087161,10.456866692731865,8.497736774428489,7.604859117636027,7.962014913642449,12.601751704135625,102.51552327039032,118.90928260977607,124.51777889864424,146.1278663308099,0.039142976593427734,0.07208005515710615,0.4572228833454603,-0.9567705644975673,2,False,False,False,True,False,False
Brazil,2020-08-01,3.481711711500279,12.702195679825458,1.33435539201927,156.11654754094684,39.90610453555527,2.7831772579061846,33.40889300638969,2,271.0298760933195,0,68.90713752465182,2,9,2018-01-01,9.271715127119224,0,0.7274328292263073,-0.3907905099509881,42.85145878458628,0,48.24863780938642,42.797058372061976,91.38539351612832,28.89034287236096,0.7287557192815918,-0.011679532999225714,-0.451018022391735,0.3131024453153554,10.902344509982136,10.094240328382707,1.5914490392493397,6.699543902887319,5.950755957590734,7.723918083154675,8.555897567110485,8.975297842532532,121.26217551046238,123.39625766216052,83.15220009179603,99.87659082073068,0.42162719939307863,0.07157566140800865,0.0802258856074682,-0.4200198391726453,2,False,False,False,True,False,False
Brazil,2020-09-01,2.7941536043404054,8.226640810877887,6.3355704773843655,142.8789084376187,46.98199860555014,2.702658454884477,34.26251540546,5,126.18189893043726,0,63.63323756984777,1,8,2014-01-01,40.66131877941992,0,0.1351727697726499,-1.0711267030868497,46.70151815775885,0,53.01893397599267,39.85279772868211,33.40889300638969,19.95162690564129,1.941615764482983,0.6163522749037779,3.481711711500279,-0.8444265312637684,7.5067618433175625,9.68168082274058,12.702195679825458,18.41338881087161,5.408607812171373,7.627481316137454,1.33435539201927,7.962014913642449,127.38255202345385,125.44498202009106,156.11654754094684,124.51777889864424,0.3142771615354751,0.003877327380278845,0.7274328292263073,0.4572228833454603,6,False,False,False,True,False,False
Brazil,2020-10-01,1.1617740936557832,5.040276424436014,12.24505824476605,122.7170977485254,48.611560625651656,3.883819339129233,15.834022872134137,1,240.5070670107145,0,21.2697975543182,3,7,2014-01-01,20.70533010395277,0,-0.5189922700373664,6.435375626560084,53.88604838804148,0,27.835143761327938,37.2887990963524,34.26251540546,91.38539351612832,2.4792131364988226,1.0758828835260532,2.7941536043404054,-0.451018022391735,8.65637097171312,8.778915778024604,8.226640810877887,1.5914490392493397,6.638328038056561,7.5680324062425255,6.3355704773843655,8.555897567110485,140.57085124236366,121.54318725637698,142.8789084376187,83.15220009179603,0.11453777632053026,0.076840376456979,0.1351727697726499,0.0802258856074682,6,False,False,False,True,False,False
